# Radial profiles  |  saved: 2026-04-28 08:33:21
# n_profiles: 4  |  max_length: 94  |  mean_std_length: 40
# blank cells = profile did not extend to this radius
radius	profile_1	profile_2	profile_3	profile_4	mean	std
0	7.31041e-10	7.69921e-10	6.44625e-10	6.93465e-10	7.09763e-10	4.63152e-11
0.25	7.38164e-10	7.16135e-10	6.1425e-10	6.73657e-10	6.85552e-10	4.72461e-11
0.5	7.29779e-10	6.87352e-10	6.24253e-10	6.43528e-10	6.71228e-10	4.08109e-11
0.75	7.36613e-10	7.09927e-10	6.22798e-10	6.33898e-10	6.75809e-10	4.85486e-11
1	7.11556e-10	6.64931e-10	6.21195e-10	6.48391e-10	6.61518e-10	3.28395e-11
1.25	7.12789e-10	6.90543e-10	6.22522e-10	6.4988e-10	6.68934e-10	3.50262e-11
1.5	7.33378e-10	6.89547e-10	6.37653e-10	6.544e-10	6.78745e-10	3.66835e-11
1.75	7.42844e-10	7.06961e-10	6.45893e-10	6.63062e-10	6.8969e-10	3.79172e-11
2	7.45575e-10	7.21745e-10	6.44371e-10	6.86155e-10	6.99462e-10	3.81936e-11
2.25	7.55168e-10	7.36363e-10	6.55005e-10	6.95932e-10	7.10617e-10	3.85874e-11
2.5	7.71919e-10	7.59406e-10	6.78164e-10	6.94501e-10	7.25997e-10	4.03268e-11
2.75	7.77899e-10	7.71171e-10	6.88243e-10	6.98952e-10	7.34066e-10	4.07153e-11
3	7.64022e-10	7.64747e-10	6.80115e-10	6.93168e-10	7.25513e-10	3.9145e-11
3.25	7.44052e-10	7.46112e-10	6.66172e-10	6.86924e-10	7.10815e-10	3.50514e-11
3.5	7.25603e-10	7.31715e-10	6.51048e-10	6.64401e-10	6.93192e-10	3.58453e-11
3.75	7.14192e-10	7.08049e-10	6.39916e-10	6.4848e-10	6.77659e-10	3.36684e-11
4	6.92497e-10	6.8549e-10	6.25508e-10	6.32219e-10	6.58928e-10	3.02602e-11
4.25	6.74868e-10	6.64873e-10	6.10417e-10	6.18331e-10	6.42122e-10	2.81119e-11
4.5	6.58752e-10	6.4974e-10	5.97455e-10	6.08033e-10	6.28495e-10	2.62153e-11
4.75	6.45424e-10	6.28368e-10	5.89047e-10	5.79961e-10	6.107e-10	2.70723e-11
5	6.33988e-10	6.24393e-10	5.73087e-10	5.70156e-10	6.00406e-10	2.90024e-11
5.25	6.23655e-10	6.03276e-10	5.6279e-10	5.65072e-10	5.88698e-10	2.58066e-11
5.5	6.07347e-10	5.9276e-10	5.57264e-10	5.60081e-10	5.79363e-10	2.13469e-11
5.75	6.0689e-10	5.75931e-10	5.52167e-10	5.50304e-10	5.71323e-10	2.28858e-11
6	6.05226e-10	5.73623e-10	5.50413e-10	5.44693e-10	5.68489e-10	2.38168e-11
6.25	6.10896e-10	5.75901e-10	5.43091e-10	5.41245e-10	5.67783e-10	2.84545e-11
6.5	5.88123e-10	5.67989e-10	5.41369e-10	5.37898e-10	5.58845e-10	2.05244e-11
6.75	5.89773e-10	5.60121e-10	5.40367e-10	5.26528e-10	5.54197e-10	2.37574e-11
7	5.90137e-10	5.36797e-10	5.35702e-10	5.20536e-10	5.45793e-10	2.63962e-11
7.25	5.77087e-10	5.31978e-10	5.36635e-10	5.16854e-10	5.40638e-10	2.22777e-11
